RJF,0.05%
ETR,0.05%
APTV,0.05%
TTWO,0.05%
WDC,0.05%
NTAP,0.05%
IRM,0.05%
NDAQ,0.05%
STT,0.05%
EQR,0.05%
WY,0.05%
BR,0.05%
HPE,0.05%
AXON,0.05%
CPAY,0.05%
BALL,0.05%
DECK,0.05%
GPC,0.05%
ES,0.05%
SBAC,0.05%
HUBB,0.05%
PTC,0.05%
VLTO,0.05%
CTRA,0.05%
PPL,0.05%
STE,0.05%
FSLR,0.05%
FE,0.05%
BLDR,0.05%
HBAN,0.05%
TYL,0.05%
MOH,0.05%
BRO,0.05%
INVH,0.05%
STLD,0.05%
LDOS,0.05%
CBOE,0.04%
ALGN,0.04%
AEE,0.04%
WAT,0.04%
ULTA,0.04%
VTR,0.04%
MKC,0.04%
SYF,0.04%
OMC,0.04%
CNP,0.04%
CINF,0.04%
TDY,0.04%
ARE,0.04%
TER,0.04%
RF,0.04%
CMS,0.04%
COO,0.04%
PFG,0.04%
AVY,0.04%
BAX,0.04%
DPZ,0.04%
ATO,0.04%
HOLX,0.04%
DRI,0.04%
NTRS,0.04%
J,0.04%
ILMN,0.04%
CLX,0.04%
STX,0.04%
UAL,0.04%
WBD,0.04%
LVS,0.04%
NRG,0.04%
LH,0.04%
TXT,0.04%
EXPD,0.04%
TSN,0.04%
CFG,0.04%
IEX,0.04%
FDS,0.04%
K,0.04%
EG,0.04%
ZBRA,0.04%
EQT,0.04%
ESS,0.04%
CE,0.04%
LUV,0.04%
WRB,0.04%
PKG,0.04%
MRO,0.04%
MAS,0.04%
MAA,0.04%
AKAM,0.04%
ENPH,0.04%
ALB,0.04%
BG,0.04%
DGX,0.03%
JBL,0.03%
VRSN,0.03%
SWKS,0.03%
EXPE,0.03%
AMCR,0.03%
CAG,0.03%
SNA,0.03%
NDSN,0.03%
CCL,0.03%
EPAM,0.03%
BBY,0.03%
VTRS,0.03%
L,0.03%
POOL,0.03%
KEY,0.03%
TRMB,0.03%
CF,0.03%
PNR,0.03%
JBHT,0.03%
IP,0.03%
LYV,0.03%
DOC,0.03%
SWK,0.03%
WRK,0.03%
ROL,0.03%
AES,0.03%
LNT,0.03%
HST,0.03%
RVTY,0.03%
KIM,0.03%
EVRG,0.03%
WBA,0.03%
PODD,0.03%
TECH,0.03%
JKHY,0.03%
CRL,0.03%
EMN,0.03%
LW,0.03%
IPG,0.03%
LKQ,0.03%
NI,0.03%
UDR,0.03%
SJM,0.03%
GEN,0.03%
KMX,0.03%
CPT,0.03%
JNPR,0.03%
MGM,0.03%
ALLE,0.03%
BBWI,0.02%
TAP,0.02%
AOS,0.02%
UHS,0.02%
FFIV,0.02%
CTLT,0.02%
HRL,0.02%
INCY,0.02%
HII,0.02%
MOS,0.02%
REG,0.02%
HSIC,0.02%
CHRW,0.02%
TFX,0.02%
AAL,0.02%
QRVO,0.02%
APA,0.02%
AIZ,0.02%
NWSA,0.02%
WYNN,0.02%
SOLV,0.02%
DAY,0.02%
TPR,0.02%
CPB,0.02%
BWA,0.02%
PNW,0.02%
BF.B,0.02%
BXP,0.02%
GNRC,0.02%
PAYC,0.02%
FOXA,0.02%
FMC,0.02%
